unitNo,zscores,condition,regionname,prevStimName,stimName,similarityToPrevStim,similarityCondition
3,0.304303941932453,primed,AM,manmade_food_9.jpg,manmade_food_2,0.740771717286692,PrimedMidSimilarity
3,4.80206464464139,primed,AM,manmade_food_9.jpg,manmade_food_2,0.740771717286692,PrimedLowSimilarity
3,2.55318429328692,primed,AM,manmade_food_6.jpg,manmade_food_2,0.726354191726214,PrimedHighSimilarity
3,4.05243786085657,primed,AM,manmade_food_7.jpg,manmade_food_2,0.741327386495057,PrimedLowSimilarity
3,1.05393072571728,primed,AM,manmade_food_10.jpg,manmade_food_2,0.691122689066305,PrimedHighSimilarity
3,3.30281107707175,control,AM,instruments_8.jpg,manmade_food_2,0.941958478303983,ControlMidSimilarity
3,4.80206464464139,control,AM,instruments_2.jpg,manmade_food_2,0.934755224628005,ControlHighSimilarity
3,4.05243786085657,control,AM,clothes_8.jpg,manmade_food_2,0.904072146303306,ControlHighSimilarity
3,4.80206464464139,control,AM,instruments_7.jpg,manmade_food_2,0.945089390506558,ControlLowSimilarity
3,3.30281107707175,control,AM,wild_animals_1.jpg,manmade_food_2,0.995944610256812,ControlLowSimilarity
13,-0.537688181799555,primed,AM,clothes_6.jpg,clothes_2,0.792405340695293,PrimedMidSimilarity
13,0.159442836964951,primed,AM,clothes_1.jpg,clothes_2,0.795672755446721,PrimedLowSimilarity
13,-0.189122672417302,primed,AM,clothes_3.jpg,clothes_2,0.72580366139632,PrimedHighSimilarity
13,0.508008346347204,primed,AM,clothes_3.jpg,clothes_2,0.72580366139632,PrimedHighSimilarity
13,0.159442836964951,primed,AM,clothes_8.jpg,clothes_2,0.816337635148407,PrimedLowSimilarity
13,-0.537688181799555,control,AM,flowers_1.jpg,clothes_2,0.867344090926668,ControlHighSimilarity
13,0.159442836964951,control,AM,wild_animals_6.jpg,clothes_2,0.939964183108529,ControlLowSimilarity
13,-0.537688181799555,control,AM,furniture_3.jpg,clothes_2,0.868999416935128,ControlHighSimilarity
13,0.856573855729458,control,AM,instruments_9.jpg,clothes_2,0.887248439191426,ControlMidSimilarity
13,-0.189122672417302,control,AM,insects_1.jpg,clothes_2,0.919071106374864,ControlLowSimilarity
17,2.68653635390858,primed,AM,manmade_food_6.jpg,manmade_food_8,0.747383276393797,PrimedLowSimilarity
17,0.840182436211476,primed,AM,manmade_food_10.jpg,manmade_food_8,0.672559103846052,PrimedMidSimilarity
17,0.470911652672054,primed,AM,manmade_food_6.jpg,manmade_food_8,0.747383276393797,PrimedLowSimilarity
17,0.840182436211476,primed,AM,manmade_food_5.jpg,manmade_food_8,0.451804260456033,PrimedHighSimilarity
17,2.31726557036916,primed,AM,manmade_food_1.jpg,manmade_food_8,0.657578766522235,PrimedHighSimilarity
17,0.101640869132633,control,AM,furniture_3.jpg,manmade_food_8,0.940196639834119,ControlHighSimilarity
17,0.840182436211476,control,AM,fruit_7.jpg,manmade_food_8,0.894274106078676,ControlHighSimilarity
17,3.055807137448,control,AM,computer_8.jpg,manmade_food_8,0.980600504042912,ControlLowSimilarity
17,1.57872400329032,control,AM,instruments_2.jpg,manmade_food_8,0.971965421733588,ControlMidSimilarity
17,1.94799478682974,control,AM,wild_animals_4.jpg,manmade_food_8,1.00656866020146,ControlLowSimilarity
22,6.2752954885871,primed,AM,clothes_4.jpg,clothes_6,0.725316340825909,PrimedHighSimilarity
22,14.8838502505198,primed,AM,clothes_5.jpg,clothes_6,0.777376515048289,PrimedHighSimilarity
22,4.12315679810392,primed,AM,clothes_3.jpg,clothes_6,0.797029267116611,PrimedMidSimilarity
22,4.12315679810392,primed,AM,clothes_1.jpg,clothes_6,0.815088632947158,PrimedLowSimilarity
22,4.12315679810392,primed,AM,clothes_9.jpg,clothes_6,0.823879280669009,PrimedLowSimilarity
22,8.42743417907028,control,AM,furniture_10.jpg,clothes_6,0.857637517635969,ControlHighSimilarity
22,9.50350352431187,control,AM,manmade_food_4.jpg,clothes_6,0.900024769130195,ControlHighSimilarity
22,5.19922614334551,control,AM,wild_animals_1.jpg,clothes_6,0.980754680373141,ControlLowSimilarity
22,4.12315679810392,control,AM,manmade_food_4.jpg,clothes_6,0.900024769130195,ControlMidSimilarity
22,5.19922614334551,control,AM,instruments_8.jpg,clothes_6,0.925371668864892,ControlLowSimilarity
75,1.57153204638773,primed,AM,wild_animals_3.jpg,wild_animals_4,0.824731676001431,PrimedLowSimilarity
75,1.02439403644233,primed,AM,wild_animals_9.jpg,wild_animals_4,0.759885237356871,PrimedHighSimilarity
75,-0.0698819834484722,primed,AM,wild_animals_7.jpg,wild_animals_4,0.817802352814701,PrimedMidSimilarity
75,-0.0698819834484722,primed,AM,wild_animals_5.jpg,wild_animals_4,0.849565120458849,PrimedLowSimilarity
75,0.203687021524229,primed,AM,wild_animals_1.jpg,wild_animals_4,0.764230974198847,PrimedHighSimilarity
75,1.29796304141503,control,AM,instruments_6.jpg,wild_animals_4,0.955809398901577,ControlLowSimilarity
75,0.75082503146963,control,AM,clothes_2.jpg,wild_animals_4,0.95722910702679,ControlLowSimilarity
75,-0.890588998366575,control,AM,insects_3.jpg,wild_animals_4,0.915008651910367,ControlHighSimilarity
75,0.477256026496929,control,AM,computer_1.jpg,wild_animals_4,0.927606275641969,ControlMidSimilarity
75,-0.0698819834484722,control,AM,birds_3.jpg,wild_animals_4,0.872373258373732,ControlHighSimilarity
80,0.644781346992911,primed,AM,furniture_9.jpg,furniture_7,0.754867360080075,PrimedHighSimilarity
80,-0.968236718882683,primed,AM,furniture_3.jpg,furniture_7,0.75344273729505,PrimedHighSimilarity
80,-0.430564030257485,primed,AM,furniture_6.jpg,furniture_7,0.788579539406622,PrimedLowSimilarity
80,0.107108658367713,primed,AM,furniture_9.jpg,furniture_7,0.754867360080075,PrimedMidSimilarity
80,0.752315884717951,primed,AM,furniture_2.jpg,furniture_7,0.817398296359719,PrimedLowSimilarity
